simplified,pinyin,traditional,pos,classifier,definition,source
信任,xìn rèn,信任,"v, vn",,to have confidence in,new-HSK3
行李,xíng li,行李,n,件,luggage,new-HSK3
形成,xíng chéng,形成,"v, vn",,to form,"old-HSK5, new-HSK3"
形成,xíng chéng,形成,"v, vn",,to take shape,"old-HSK5, new-HSK3"
形式,xíng shì,形式,n,个,outer appearance,"old-HSK5, new-HSK3"
形式,xíng shì,形式,n,个,form,"old-HSK5, new-HSK3"
形式,xíng shì,形式,n,个,shape,"old-HSK5, new-HSK3"
形式,xíng shì,形式,n,个,formality,"old-HSK5, new-HSK3"
形象,xíng xiàng,形象,"n, a",个,image,"old-HSK5, new-HSK3"
形象,xíng xiàng,形象,"n, a",个,form,"old-HSK5, new-HSK3"
形象,xíng xiàng,形象,"n, a",个,figure,"old-HSK5, new-HSK3"
形象,xíng xiàng,形象,"n, a",个,visualization,"old-HSK5, new-HSK3"
形象,xíng xiàng,形象,"n, a",个,vivid,"old-HSK5, new-HSK3"
形状,xíng zhuàng,形狀,n,个,form; shape,"old-HSK5, new-HSK3"
幸福,xìng fú,幸福,"a, an, nz",,happiness,new-HSK3
幸福,xìng fú,幸福,"a, an, nz",,happy,new-HSK3
幸福,xìng fú,幸福,"a, an, nz",,blessed,new-HSK3
幸运,xìng yùn,幸運,"a, an, ad",,fortunate,"old-HSK5, new-HSK3"
幸运,xìng yùn,幸運,"a, an, ad",,lucky,"old-HSK5, new-HSK3"
幸运,xìng yùn,幸運,"a, an, ad",,fortune,"old-HSK5, new-HSK3"
幸运,xìng yùn,幸運,"a, an, ad",,luck,"old-HSK5, new-HSK3"
性,xìng,性,"g, n, k",,nature,new-HSK3
性,xìng,性,"g, n, k",,character,new-HSK3
性,xìng,性,"g, n, k",,property,new-HSK3
性,xìng,性,"g, n, k",,quality,new-HSK3
性,xìng,性,"g, n, k",,attribute,new-HSK3
性,xìng,性,"g, n, k",,sexuality,new-HSK3
性,xìng,性,"g, n, k",,sex,new-HSK3
性,xìng,性,"g, n, k",,gender,new-HSK3
性,xìng,性,"g, n, k",,suffix forming adjective from verb,new-HSK3
性,xìng,性,"g, n, k",,"suffix forming noun from adjective, corresponding to -ness or -ity",new-HSK3
性,xìng,性,"g, n, k",,essence,new-HSK3
性别,xìng bié,性別,n,,gender,new-HSK3
性别,xìng bié,性別,n,,sex,new-HSK3
性格,xìng gé,性格,n,个,nature,new-HSK3
性格,xìng gé,性格,n,个,disposition,new-HSK3
性格,xìng gé,性格,n,个,temperament,new-HSK3
性格,xìng gé,性格,n,个,character,new-HSK3
修,Xiū,修,v,,surname Xiu,new-HSK3
修,xiū,修,v,,to decorate,new-HSK3
修,xiū,修,v,,to embellish,new-HSK3
修,xiū,修,v,,to repair,new-HSK3
修,xiū,修,v,,to build,new-HSK3
修,xiū,修,v,,to write,new-HSK3
修,xiū,修,v,,to cultivate,new-HSK3
修,xiū,修,v,,to study,new-HSK3
修,xiū,修,v,,to take (a class),new-HSK3
修,xiū,脩,v,,variant of 修,new-HSK3
修改,xiū gǎi,修改,"v, vn",,to amend,"old-HSK5, new-HSK3"
修改,xiū gǎi,修改,"v, vn",,to alter,"old-HSK5, new-HSK3"
修改,xiū gǎi,修改,"v, vn",,to modify,"old-HSK5, new-HSK3"
需求,xū qiú,需求,n,,requirement,new-HSK3
需求,xū qiú,需求,n,,to require,new-HSK3
需求,xū qiú,需求,n,,(economics) demand,new-HSK3
需要,xū yào,需要,"v, n, vn",,to need; to want; to demand; to require,new-HSK3
需要,xū yào,需要,"v, n, vn",,needs,new-HSK3
宣布,xuān bù,宣布,v,,to declare,"old-HSK5, new-HSK3"
宣布,xuān bù,宣布,v,,to announce,"old-HSK5, new-HSK3"
宣布,xuān bù,宣布,v,,to proclaim,"old-HSK5, new-HSK3"
宣传,xuān chuán,宣傳,"vn, v",个,to disseminate,"old-HSK5, new-HSK3"
宣传,xuān chuán,宣傳,"vn, v",个,to give publicity to,"old-HSK5, new-HSK3"
宣传,xuān chuán,宣傳,"vn, v",个,propaganda,"old-HSK5, new-HSK3"
选手,xuǎn shǒu,選手,n,,athlete,new-HSK3
选手,xuǎn shǒu,選手,n,,contestant,new-HSK3
学费,xué fèi,學費,n,个,tuition fee,new-HSK3
学费,xué fèi,學費,n,个,tuition,new-HSK3
血,xuè,血,n,"滴, 片",blood,new-HSK3
血,xuè,血,n,"滴, 片",colloquial pr. [xiě],new-HSK3
训练,xùn liàn,訓練,"vn, v",个,to train,"old-HSK5, new-HSK3"
训练,xùn liàn,訓練,"vn, v",个,to drill,"old-HSK5, new-HSK3"
训练,xùn liàn,訓練,"vn, v",个,training,"old-HSK5, new-HSK3"
压,yā,壓,v,,to press,new-HSK3
压,yā,壓,v,,to push down,new-HSK3
压,yā,壓,v,,to keep under (control),new-HSK3
压,yā,壓,v,,pressure,new-HSK3
压,yà,壓,v,,used in 压根儿 and 压马路 and 压板,new-HSK3
压力,yā lì,壓力,n,,pressure,new-HSK3
烟,yān,煙,n,"根, 缕",cigarette or pipe tobacco,new-HSK3
烟,yān,煙,n,"根, 缕",smoke,new-HSK3
烟,yān,煙,n,"根, 缕",mist,new-HSK3
烟,yān,煙,n,"根, 缕",vapour,new-HSK3
烟,yān,煙,n,"根, 缕",tobacco plant,new-HSK3
烟,yān,煙,n,"根, 缕",(of the eyes) to be irritated by smoke,new-HSK3
眼前,yǎn qián,眼前,"s, t",,before one's eyes,new-HSK3
眼前,yǎn qián,眼前,"s, t",,now,new-HSK3
眼前,yǎn qián,眼前,"s, t",,at present,new-HSK3
演,yǎn,演,v,,to develop,new-HSK3
演,yǎn,演,v,,to evolve,new-HSK3
演,yǎn,演,v,,to practice,new-HSK3
演,yǎn,演,v,,to perform,new-HSK3
演,yǎn,演,v,,to play,new-HSK3
演,yǎn,演,v,,to act,new-HSK3
演唱,yǎn chàng,演唱,"v, vn",,sung performance,new-HSK3
演唱,yǎn chàng,演唱,"v, vn",,to sing for an audience,new-HSK3
演唱会,yǎn chàng huì,演唱會,n,,vocal recital or concert,new-HSK3
演出,yǎn chū,演出,"v, vn","场, 次",to act (in a play),new-HSK3
演出,yǎn chū,演出,"v, vn","场, 次",to perform,new-HSK3
演出,yǎn chū,演出,"v, vn","场, 次",to put on (a performance),new-HSK3
演出,yǎn chū,演出,"v, vn","场, 次",performance,new-HSK3
演出,yǎn chū,演出,"v, vn","场, 次",concert,new-HSK3
演出,yǎn chū,演出,"v, vn","场, 次",show,new-HSK3
演员,yǎn yuán,演員,n,"个, 位, 名",actor or actress,new-HSK3
演员,yǎn yuán,演員,n,"个, 位, 名",performer,new-HSK3
羊,Yáng,羊,n,,surname Yang,new-HSK3
羊,yáng,羊,n,"头, 只",sheep; goat,new-HSK3
阳光,yáng guāng,陽光,"n, nz",,sunshine,new-HSK3
阳光,yáng guāng,陽光,"n, nz",,(of personality) upbeat; energetic,new-HSK3
阳光,yáng guāng,陽光,"n, nz",,transparent (open to public scrutiny),new-HSK3
要是,yào shi,要是,"c, v",,(coll.) if,"old-HSK5, new-HSK3"
一方面,yī fāng miàn,一方面,"c, n",,on the one hand,new-HSK3
一切,yī qiè,一切,r,,everything,new-HSK3
一切,yī qiè,一切,r,,every,new-HSK3
一切,yī qiè,一切,r,,all,new-HSK3
衣架,yī jià,衣架,n,,clothes hanger,new-HSK3
衣架,yī jià,衣架,n,,clothes rack,new-HSK3
已,yǐ,已,d,,already,new-HSK3
已,yǐ,已,d,,to stop,new-HSK3
已,yǐ,已,d,,then,new-HSK3
已,yǐ,已,d,,afterwards,new-HSK3
以来,yǐ lái,以來,f,,since (a previous event),"old-HSK5, new-HSK3"
艺术,yì shù,藝術,n,,art,new-HSK3
意外,yì wài,意外,"a, an, ad",个,unexpected,"old-HSK5, new-HSK3"
意外,yì wài,意外,"a, an, ad",个,accident,"old-HSK5, new-HSK3"
意外,yì wài,意外,"a, an, ad",个,mishap,"old-HSK5, new-HSK3"
意义,yì yì,意義,n,个,sense,"old-HSK5, new-HSK3"
意义,yì yì,意義,n,个,meaning,"old-HSK5, new-HSK3"
意义,yì yì,意義,n,个,significance,"old-HSK5, new-HSK3"
意义,yì yì,意義,n,个,importance,"old-HSK5, new-HSK3"
因此,yīn cǐ,因此,c,,thus; consequently; as a result,new-HSK3
银,yín,銀,"b, g, n",,silver,"old-HSK5, new-HSK3"
银,yín,銀,"b, g, n",,silver-colored,"old-HSK5, new-HSK3"
银,yín,銀,"b, g, n",,relating to money or currency,"old-HSK5, new-HSK3"
银牌,yín pái,銀牌,n,枚,silver medal,new-HSK3
印象,yìn xiàng,印象,n,,impression (sth that stays in one's mind),new-HSK3
印象,yìn xiàng,印象,n,,a memory,new-HSK3
应当,yīng dāng,應當,v,,should; ought to,new-HSK3
应用,yìng yòng,應用,"vn, v",,to put to use,"old-HSK5, new-HSK3"
应用,yìng yòng,應用,"vn, v",,to apply,"old-HSK5, new-HSK3"
应用,yìng yòng,應用,"vn, v",,practical,"old-HSK5, new-HSK3"
应用,yìng yòng,應用,"vn, v",,"applied (science, linguistics etc)","old-HSK5, new-HSK3"
应用,yìng yòng,應用,"vn, v",,application,"old-HSK5, new-HSK3"
应用,yìng yòng,應用,"vn, v",,practical use,"old-HSK5, new-HSK3"
应用,yìng yòng,應用,"vn, v",,(computing) app,"old-HSK5, new-HSK3"
迎接,yíng jiē,迎接,v,,to welcome; to greet,"old-HSK5, new-HSK3"
营养,yíng yǎng,營養,n,种,nutrition,"old-HSK5, new-HSK3"
营养,yíng yǎng,營養,n,种,nourishment,"old-HSK5, new-HSK3"
赢,yíng,贏,v,,to beat,new-HSK3
赢,yíng,贏,v,,to win,new-HSK3
赢,yíng,贏,v,,to profit,new-HSK3
影视,yǐng shì,影視,b,,movies and television,new-HSK3
优点,yōu diǎn,優點,n,"个, 项",merit,new-HSK3
优点,yōu diǎn,優點,n,"个, 项",benefit,new-HSK3
优点,yōu diǎn,優點,n,"个, 项",strong point,new-HSK3
优点,yōu diǎn,優點,n,"个, 项",advantage,new-HSK3
优势,yōu shì,優勢,n,,superiority,"old-HSK5, new-HSK3"
优势,yōu shì,優勢,n,,dominance,"old-HSK5, new-HSK3"
优势,yōu shì,優勢,n,,advantage,"old-HSK5, new-HSK3"
由,yóu,由,"p, v",,to follow,new-HSK3
由,yóu,由,"p, v",,from,new-HSK3
由,yóu,由,"p, v",,because of; due to,new-HSK3
由,yóu,由,"p, v",,by; via; through,new-HSK3
由,yóu,由,"p, v",,(before a noun and a verb) it is for ... to ...,new-HSK3
由于,yóu yú,由於,"p, c",,due to,new-HSK3
由于,yóu yú,由於,"p, c",,as a result of,new-HSK3
由于,yóu yú,由於,"p, c",,thanks to,new-HSK3
由于,yóu yú,由於,"p, c",,owing to,new-HSK3
由于,yóu yú,由於,"p, c",,since,new-HSK3
由于,yóu yú,由於,"p, c",,because,new-HSK3
邮件,yóu jiàn,郵件,n,,mail,new-HSK3
邮件,yóu jiàn,郵件,n,,post,new-HSK3
邮件,yóu jiàn,郵件,n,,email,new-HSK3
邮票,yóu piào,郵票,n,"枚, 张",(postage) stamp,new-HSK3
邮箱,yóu xiāng,郵箱,n,,mailbox,new-HSK3
邮箱,yóu xiāng,郵箱,n,,post office box,new-HSK3
邮箱,yóu xiāng,郵箱,n,,email,new-HSK3
邮箱,yóu xiāng,郵箱,n,,email inbox,new-HSK3
游,Yóu,游,"v, g, vn",,surname You,new-HSK3
游,yóu,游,"v, g, vn",,to swim,new-HSK3
游,yóu,游,"v, g, vn",,variant of 游,new-HSK3
游,yóu,遊,"v, g, vn",,to walk,new-HSK3
游,yóu,遊,"v, g, vn",,to tour,new-HSK3
游,yóu,遊,"v, g, vn",,to roam,new-HSK3
游,yóu,遊,"v, g, vn",,to travel,new-HSK3
游戏,yóu xì,遊戲,"n, v",场,game,new-HSK3
游戏,yóu xì,遊戲,"n, v",场,to play,new-HSK3
游泳,yóu yǒng,游泳,"v, vn",,swimming,new-HSK3
游泳,yóu yǒng,游泳,"v, vn",,to swim,new-HSK3
有的是,yǒu de shì,有的是,l,,have plenty of,new-HSK3
有的是,yǒu de shì,有的是,l,,there's no lack of,new-HSK3
有利,yǒu lì,有利,a,,advantageous; favorable,"old-HSK5, new-HSK3"
有效,yǒu xiào,有效,"a, ad",,effective,new-HSK3
有效,yǒu xiào,有效,"a, ad",,in effect,new-HSK3
有效,yǒu xiào,有效,"a, ad",,valid,new-HSK3
预报,yù bào,預報,"vn, v",,forecast,"old-HSK5, new-HSK3"
预防,yù fáng,預防,"v, vn",,to prevent,"old-HSK5, new-HSK3"
预防,yù fáng,預防,"v, vn",,to take precautions against,"old-HSK5, new-HSK3"
预防,yù fáng,預防,"v, vn",,to protect,"old-HSK5, new-HSK3"
预防,yù fáng,預防,"v, vn",,to guard against,"old-HSK5, new-HSK3"
预防,yù fáng,預防,"v, vn",,precautionary,"old-HSK5, new-HSK3"
预防,yù fáng,預防,"v, vn",,prophylactic,"old-HSK5, new-HSK3"
预计,yù jì,預計,"v, vn",,to forecast,new-HSK3
预计,yù jì,預計,"v, vn",,to predict,new-HSK3
预计,yù jì,預計,"v, vn",,to estimate,new-HSK3
预习,yù xí,預習,"v, vn",,to prepare a lesson,new-HSK3
员,yuán,員,"g, q, n",,person,new-HSK3
员,yuán,員,"g, q, n",,employee,new-HSK3
员,yuán,員,"g, q, n",,member,new-HSK3
员工,yuán gōng,員工,n,,staff,new-HSK3
员工,yuán gōng,員工,n,,personnel,new-HSK3
员工,yuán gōng,員工,n,,employee,new-HSK3
愿望,yuàn wàng,願望,n,,desire,"old-HSK5, new-HSK3"
愿望,yuàn wàng,願望,n,,wish,"old-HSK5, new-HSK3"
约,yāo,約,"d, b, v, g",,to weigh in a balance or on a scale,new-HSK3
约,yuē,約,"d, b, v, g",,to make an appointment,new-HSK3
约,yuē,約,"d, b, v, g",,to invite,new-HSK3
约,yuē,約,"d, b, v, g",,approximately,new-HSK3
约,yuē,約,"d, b, v, g",,pact,new-HSK3
约,yuē,約,"d, b, v, g",,treaty,new-HSK3
约,yuē,約,"d, b, v, g",,to economize,new-HSK3
约,yuē,約,"d, b, v, g",,to restrict,new-HSK3
约,yuē,約,"d, b, v, g",,to reduce (a fraction),new-HSK3
约,yuē,約,"d, b, v, g",,concise,new-HSK3
运输,yùn shū,運輸,"vn, v",,to transport,"old-HSK5, new-HSK3"
运输,yùn shū,運輸,"vn, v",,to carry,"old-HSK5, new-HSK3"
运输,yùn shū,運輸,"vn, v",,transportation,"old-HSK5, new-HSK3"
杂志,zá zhì,雜誌,n,"本, 份, 期",magazine,new-HSK3
早已,zǎo yǐ,早已,d,,for a long time; long since,new-HSK3
早已,zǎo yǐ,早已,d,,(dialect) in the past,new-HSK3
造,zào,造,v,,to make,new-HSK3
造,zào,造,v,,to build,new-HSK3
造,zào,造,v,,to manufacture,new-HSK3
造,zào,造,v,,to invent,new-HSK3
造,zào,造,v,,to fabricate,new-HSK3
造,zào,造,v,,to go to,new-HSK3
造,zào,造,v,,party (in a lawsuit or legal agreement),new-HSK3
造,zào,造,v,,crop,new-HSK3
造,zào,造,v,,classifier for crops,new-HSK3
造成,zào chéng,造成,v,,to bring about,"old-HSK5, new-HSK3"
造成,zào chéng,造成,v,,to create,"old-HSK5, new-HSK3"
造成,zào chéng,造成,v,,to cause,"old-HSK5, new-HSK3"
责任,zé rèn,責任,n,个,responsibility,new-HSK3
责任,zé rèn,責任,n,个,blame,new-HSK3
责任,zé rèn,責任,n,个,duty,new-HSK3
增加,zēng jiā,增加,"v, vn",,to raise,new-HSK3
增加,zēng jiā,增加,"v, vn",,to increase,new-HSK3
增长,zēng zhǎng,增長,"v, vn",,to grow,new-HSK3
增长,zēng zhǎng,增長,"v, vn",,to increase,new-HSK3
展开,zhǎn kāi,展開,"v, vn",,to unfold; to spread out; to open up,"old-HSK5, new-HSK3"
展开,zhǎn kāi,展開,"v, vn",,to launch; to carry out,"old-HSK5, new-HSK3"
张,Zhāng,張,"q, nr, v, g",,surname Zhang,new-HSK3
张,zhāng,張,"q, nr, v, g",,to open up,new-HSK3
张,zhāng,張,"q, nr, v, g",,to spread,new-HSK3
张,zhāng,張,"q, nr, v, g",,sheet of paper,new-HSK3
张,zhāng,張,"q, nr, v, g",,"classifier for flat objects, sheet",new-HSK3
张,zhāng,張,"q, nr, v, g",,classifier for votes,new-HSK3
长城,Cháng chéng,長城,ns,,the Great Wall,new-HSK3
长处,cháng chù,長處,n,,good aspects,new-HSK3
长处,cháng chù,長處,n,,strong points,new-HSK3
长期,cháng qī,長期,"b, d",,long term,new-HSK3
长期,cháng qī,長期,"b, d",,long time,new-HSK3
长期,cháng qī,長期,"b, d",,long range (of a forecast),new-HSK3
照,zhào,炤,"v, p, g, d",,variant of 照,new-HSK3
照,zhào,炤,"v, p, g, d",,to shine,new-HSK3
照,zhào,炤,"v, p, g, d",,to illuminate,new-HSK3
照,zhào,照,"v, p, g, d",,according to,new-HSK3
照,zhào,照,"v, p, g, d",,in accordance with,new-HSK3
照,zhào,照,"v, p, g, d",,to shine,new-HSK3
照,zhào,照,"v, p, g, d",,to illuminate,new-HSK3
照,zhào,照,"v, p, g, d",,to reflect,new-HSK3
照,zhào,照,"v, p, g, d",,to look at (one's reflection),new-HSK3
照,zhào,照,"v, p, g, d",,to take (a photo),new-HSK3
照,zhào,照,"v, p, g, d",,photo,new-HSK3
照,zhào,照,"v, p, g, d",,as requested,new-HSK3
照,zhào,照,"v, p, g, d",,as before,new-HSK3
者,zhě,者,"k, r, y, n, g, u",,(after a verb or adjective) one who (is) ...,new-HSK3
者,zhě,者,"k, r, y, n, g, u",,(after a noun) person involved in ...,new-HSK3
者,zhě,者,"k, r, y, n, g, u",,-er,new-HSK3
者,zhě,者,"k, r, y, n, g, u",,-ist,new-HSK3
者,zhě,者,"k, r, y, n, g, u",,(used after a number or 后 or 前 to refer to sth mentioned previously),new-HSK3
者,zhě,者,"k, r, y, n, g, u",,"(used after a term, to mark a pause before defining the term)",new-HSK3
者,zhě,者,"k, r, y, n, g, u",,(old) (used at the end of a command),new-HSK3
者,zhě,者,"k, r, y, n, g, u",,(old) this,new-HSK3
真实,zhēn shí,真實,"a, ad, an",,true; real,"old-HSK5, new-HSK3"
争,zhēng,爭,"v, g, vn",,to strive for,new-HSK3
争,zhēng,爭,"v, g, vn",,to vie for,new-HSK3
争,zhēng,爭,"v, g, vn",,to argue or debate,new-HSK3
争,zhēng,爭,"v, g, vn",,deficient or lacking (dialect),new-HSK3
争,zhēng,爭,"v, g, vn",,how or what (literary),new-HSK3
争取,zhēng qǔ,爭取,v,,to fight for,"old-HSK5, new-HSK3"
争取,zhēng qǔ,爭取,v,,to strive for,"old-HSK5, new-HSK3"
争取,zhēng qǔ,爭取,v,,to win over,"old-HSK5, new-HSK3"
整,zhěng,整,"m, v, a",,exactly,new-HSK3
整,zhěng,整,"m, v, a",,in good order,new-HSK3
整,zhěng,整,"m, v, a",,whole,new-HSK3
整,zhěng,整,"m, v, a",,complete,new-HSK3
整,zhěng,整,"m, v, a",,entire,new-HSK3
整,zhěng,整,"m, v, a",,in order,new-HSK3
整,zhěng,整,"m, v, a",,orderly,new-HSK3
整,zhěng,整,"m, v, a",,to repair,new-HSK3
整,zhěng,整,"m, v, a",,to mend,new-HSK3
整,zhěng,整,"m, v, a",,to renovate,new-HSK3
整,zhěng,整,"m, v, a",,(coll.) to fix sb,new-HSK3
整,zhěng,整,"m, v, a",,to give sb a hard time,new-HSK3
整,zhěng,整,"m, v, a",,to mess with sb,new-HSK3
整个,zhěng gè,整個,"b, m, n",,whole,"old-HSK5, new-HSK3"
整个,zhěng gè,整個,"b, m, n",,entire,"old-HSK5, new-HSK3"
整个,zhěng gè,整個,"b, m, n",,total,"old-HSK5, new-HSK3"
整理,zhěng lǐ,整理,"v, vn",,to arrange,new-HSK3
整理,zhěng lǐ,整理,"v, vn",,to tidy up,new-HSK3
整理,zhěng lǐ,整理,"v, vn",,to sort out,new-HSK3
整理,zhěng lǐ,整理,"v, vn",,to straighten out,new-HSK3
整理,zhěng lǐ,整理,"v, vn",,to list systematically,new-HSK3
整理,zhěng lǐ,整理,"v, vn",,"to collate (data, files)",new-HSK3
整理,zhěng lǐ,整理,"v, vn",,to pack (luggage),new-HSK3
整齐,zhěng qí,整齊,"a, ad",,orderly,new-HSK3
整齐,zhěng qí,整齊,"a, ad",,neat,new-HSK3
整齐,zhěng qí,整齊,"a, ad",,even,new-HSK3
整齐,zhěng qí,整齊,"a, ad",,tidy,new-HSK3
整体,zhěng tǐ,整體,n,,whole entity,"old-HSK5, new-HSK3"
整体,zhěng tǐ,整體,n,,entire body,"old-HSK5, new-HSK3"
整体,zhěng tǐ,整體,n,,synthesis,"old-HSK5, new-HSK3"
整体,zhěng tǐ,整體,n,,"as a whole (situation, construction, team etc)","old-HSK5, new-HSK3"
整体,zhěng tǐ,整體,n,,global,"old-HSK5, new-HSK3"
整体,zhěng tǐ,整體,n,,macrocosm,"old-HSK5, new-HSK3"
整体,zhěng tǐ,整體,n,,integral,"old-HSK5, new-HSK3"
整体,zhěng tǐ,整體,n,,holistic,"old-HSK5, new-HSK3"
整体,zhěng tǐ,整體,n,,whole,"old-HSK5, new-HSK3"
整天,zhěng tiān,整天,d,,all day long,new-HSK3
整天,zhěng tiān,整天,d,,whole day,new-HSK3
整整,zhěng zhěng,整整,d,,whole,new-HSK3
整整,zhěng zhěng,整整,d,,full,new-HSK3
正式,zhèng shì,正式,"ad, a",,formal; official,new-HSK3
证,zhèng,証,"n, g",,to admonish,new-HSK3
证,zhèng,証,"n, g",,variant of 证,new-HSK3
证,zhèng,證,"n, g",,certificate,new-HSK3
证,zhèng,證,"n, g",,proof,new-HSK3
证,zhèng,證,"n, g",,to prove,new-HSK3
证,zhèng,證,"n, g",,to demonstrate,new-HSK3
证,zhèng,證,"n, g",,to confirm,new-HSK3
证,zhèng,證,"n, g",,variant of 症,new-HSK3
证件,zhèng jiàn,證件,n,,certificate; papers; credentials; document; ID,"old-HSK5, new-HSK3"
证据,zhèng jù,證據,n,,evidence,"old-HSK5, new-HSK3"
证据,zhèng jù,證據,n,,proof,"old-HSK5, new-HSK3"
证据,zhèng jù,證據,n,,testimony,"old-HSK5, new-HSK3"
证明,zhèng míng,證明,"v, n, vn",个,proof,new-HSK3
证明,zhèng míng,證明,"v, n, vn",个,certificate,new-HSK3
证明,zhèng míng,證明,"v, n, vn",个,identification,new-HSK3
证明,zhèng míng,證明,"v, n, vn",个,testimonial,new-HSK3
证明,zhèng míng,證明,"v, n, vn",个,to prove,new-HSK3
证明,zhèng míng,證明,"v, n, vn",个,to testify,new-HSK3
证明,zhèng míng,證明,"v, n, vn",个,to confirm the truth of,new-HSK3
支,Zhī,支,"q, v",,surname Zhi,"old-HSK5, new-HSK3"
支,zhī,支,"q, v",,to support,"old-HSK5, new-HSK3"
支,zhī,支,"q, v",,to sustain,"old-HSK5, new-HSK3"
支,zhī,支,"q, v",,to erect,"old-HSK5, new-HSK3"
支,zhī,支,"q, v",,to raise,"old-HSK5, new-HSK3"
支,zhī,支,"q, v",,branch,"old-HSK5, new-HSK3"
支,zhī,支,"q, v",,division,"old-HSK5, new-HSK3"
支,zhī,支,"q, v",,to draw money,"old-HSK5, new-HSK3"
支,zhī,支,"q, v",,"classifier for rods such as pens and guns, for army divisions and for songs or compositions","old-HSK5, new-HSK3"
支持,zhī chí,支持,"v, vn",个,to be in favor of,new-HSK3
支持,zhī chí,支持,"v, vn",个,to support,new-HSK3
支持,zhī chí,支持,"v, vn",个,to back,new-HSK3
支持,zhī chí,支持,"v, vn",个,support,new-HSK3
支持,zhī chí,支持,"v, vn",个,backing,new-HSK3
支持,zhī chí,支持,"v, vn",个,to stand by,new-HSK3
支付,zhī fù,支付,"v, vn",,to pay (money),new-HSK3
直,Zhí,直,"d, a, v",,surname Zhi,"old-HSK5, new-HSK3"
直,Zhí,直,"d, a, v",,"Zhi (c. 2000 BC), fifth of the legendary Flame Emperors 帝 descended from Shennong 神农 Farmer God","old-HSK5, new-HSK3"
直,zhí,直,"d, a, v",,straight,"old-HSK5, new-HSK3"
直,zhí,直,"d, a, v",,to straighten,"old-HSK5, new-HSK3"
直,zhí,直,"d, a, v",,fair and reasonable,"old-HSK5, new-HSK3"
直,zhí,直,"d, a, v",,frank,"old-HSK5, new-HSK3"
直,zhí,直,"d, a, v",,straightforward,"old-HSK5, new-HSK3"
直,zhí,直,"d, a, v",,(indicates continuing motion or action),"old-HSK5, new-HSK3"
直,zhí,直,"d, a, v",,vertical,"old-HSK5, new-HSK3"
直,zhí,直,"d, a, v",,vertical downward stroke in Chinese characters,"old-HSK5, new-HSK3"
直播,zhí bō,直播,"v, vn",,"(TV, radio) to broadcast live",new-HSK3
直播,zhí bō,直播,"v, vn",,live broadcast,new-HSK3
直播,zhí bō,直播,"v, vn",,(Internet) to livestream,new-HSK3
直播,zhí bō,直播,"v, vn",,(agriculture) direct seeding,new-HSK3
直到,zhí dào,直到,v,,until,new-HSK3
值,zhí,值,"v, n, a",,value,new-HSK3
值,zhí,值,"v, n, a",,(to be) worth,new-HSK3
值,zhí,值,"v, n, a",,to happen to,new-HSK3
值,zhí,值,"v, n, a",,to be on duty,new-HSK3
值得,zhí de,值得,v,,to be worth,new-HSK3
值得,zhí de,值得,v,,to deserve,new-HSK3
职工,zhí gōng,職工,n,个,workers; staff,new-HSK3
职业,zhí yè,職業,n,,occupation; profession; vocation,new-HSK3
职业,zhí yè,職業,n,,professional,new-HSK3
只好,zhǐ hǎo,只好,d,,to have no other option but to ...; to have to; to be forced to,new-HSK3
只是,zhǐ shì,只是,"d, c, v",,merely; only; just; nothing but,new-HSK3
只是,zhǐ shì,只是,"d, c, v",,simply,new-HSK3
只是,zhǐ shì,只是,"d, c, v",,but; however,new-HSK3
只有,zhǐ yǒu,只有,"c, d, v",,only have ...,new-HSK3
只有,zhǐ yǒu,只有,"c, d, v",,there is only ...,new-HSK3
只有,zhǐ yǒu,只有,"c, d, v",,"(used in combination with 才) it is only if one ... (that one can ...) (Example: 只有通过治疗才能痊愈 ""the only way to cure it is with therapy"")",new-HSK3
只有,zhǐ yǒu,只有,"c, d, v",,"it is only ... (who ...) (Example: 要 ""only men would have such a requirement"")",new-HSK3
只有,zhǐ yǒu,只有,"c, d, v",,"(used to indicate that one has no alternative) one can only (do a certain thing) (Example: 服 ""the only thing you can do is give in"")",new-HSK3
指,zhǐ,指,"v, g",,finger,new-HSK3
指,zhǐ,指,"v, g",,to point at or to,new-HSK3
指,zhǐ,指,"v, g",,to indicate or refer to,new-HSK3
指,zhǐ,指,"v, g",,to depend on,new-HSK3
指,zhǐ,指,"v, g",,to count on,new-HSK3
指,zhǐ,指,"v, g",,(of hair) to stand on end,new-HSK3
指出,zhǐ chū,指出,v,,to indicate,new-HSK3
指出,zhǐ chū,指出,v,,to point out,new-HSK3
指导,zhǐ dǎo,指導,"v, vn",个,to guide,"old-HSK5, new-HSK3"
指导,zhǐ dǎo,指導,"v, vn",个,to give directions,"old-HSK5, new-HSK3"
指导,zhǐ dǎo,指導,"v, vn",个,to direct,"old-HSK5, new-HSK3"
指导,zhǐ dǎo,指導,"v, vn",个,to coach,"old-HSK5, new-HSK3"
指导,zhǐ dǎo,指導,"v, vn",个,guidance,"old-HSK5, new-HSK3"
指导,zhǐ dǎo,指導,"v, vn",个,tuition,"old-HSK5, new-HSK3"
至今,zhì jīn,至今,d,,so far,"old-HSK5, new-HSK3"
至今,zhì jīn,至今,d,,to this day,"old-HSK5, new-HSK3"
至今,zhì jīn,至今,d,,until now,"old-HSK5, new-HSK3"
至少,zhì shǎo,至少,d,,at least,new-HSK3
至少,zhì shǎo,至少,d,,(to say the) least,new-HSK3
