simplified,pinyin,traditional,pos,classifier,definition,source
情感,qíng gǎn,情感,n,,to move (emotionally),new-HSK3
情况,qíng kuàng,情況,n,"个, 种",circumstances; state of affairs; situation,new-HSK3
请教,qǐng jiào,請教,v,,to ask for guidance,new-HSK3
请教,qǐng jiào,請教,v,,to consult,new-HSK3
庆祝,qìng zhù,慶祝,"v, vn",,to celebrate,"old-HSK5, new-HSK3"
球迷,qiú mí,球迷,n,个,fan (ball sports),"old-HSK5, new-HSK3"
区,Oū,區,n,,surname Ou,new-HSK3
区,qū,區,n,个,area,new-HSK3
区,qū,區,n,个,region,new-HSK3
区,qū,區,n,个,district,new-HSK3
区,qū,區,n,个,small,new-HSK3
区,qū,區,n,个,distinguish,new-HSK3
区别,qū bié,區別,"n, v",个,difference,new-HSK3
区别,qū bié,區別,"n, v",个,to distinguish,new-HSK3
区别,qū bié,區別,"n, v",个,to discriminate,new-HSK3
区别,qū bié,區別,"n, v",个,to make a distinction,new-HSK3
取消,qǔ xiāo,取消,v,,to cancel,"old-HSK5, new-HSK3"
取消,qǔ xiāo,取消,v,,cancellation,"old-HSK5, new-HSK3"
去世,qù shì,去世,"v, vn",,to pass away,"old-HSK5, new-HSK3"
去世,qù shì,去世,"v, vn",,to die,"old-HSK5, new-HSK3"
全场,quán chǎng,全場,n,,everyone present,new-HSK3
全场,quán chǎng,全場,n,,the whole audience,new-HSK3
全场,quán chǎng,全場,n,,across-the-board,new-HSK3
全场,quán chǎng,全場,n,,unanimously,new-HSK3
全场,quán chǎng,全場,n,,whole duration (of a competition or match),new-HSK3
全面,quán miàn,全面,"ad, a",,all-around,"old-HSK5, new-HSK3"
全面,quán miàn,全面,"ad, a",,comprehensive,"old-HSK5, new-HSK3"
全面,quán miàn,全面,"ad, a",,total,"old-HSK5, new-HSK3"
全面,quán miàn,全面,"ad, a",,overall,"old-HSK5, new-HSK3"
全球,quán qiú,全球,n,,entire,new-HSK3
全球,quán qiú,全球,n,,total,new-HSK3
全球,quán qiú,全球,n,,global,new-HSK3
全球,quán qiú,全球,n,,the (whole) world,new-HSK3
全球,quán qiú,全球,n,,worldwide,new-HSK3
缺,quē,缺,v,,deficiency,new-HSK3
缺,quē,缺,v,,lack,new-HSK3
缺,quē,缺,v,,scarce,new-HSK3
缺,quē,缺,v,,vacant post,new-HSK3
缺,quē,缺,v,,to run short of,new-HSK3
缺点,quē diǎn,缺點,n,个,weak point,new-HSK3
缺点,quē diǎn,缺點,n,个,fault,new-HSK3
缺点,quē diǎn,缺點,n,个,shortcoming,new-HSK3
缺点,quē diǎn,缺點,n,个,disadvantage,new-HSK3
缺少,quē shǎo,缺少,v,,lack,new-HSK3
缺少,quē shǎo,缺少,v,,shortage of,new-HSK3
缺少,quē shǎo,缺少,v,,shortfall,new-HSK3
缺少,quē shǎo,缺少,v,,to be short (of),new-HSK3
缺少,quē shǎo,缺少,v,,to lack,new-HSK3
确保,què bǎo,確保,v,,to ensure; to guarantee,new-HSK3
确定,què dìng,確定,"v, vn",,definite,"old-HSK5, new-HSK3"
确定,què dìng,確定,"v, vn",,certain,"old-HSK5, new-HSK3"
确定,què dìng,確定,"v, vn",,fixed,"old-HSK5, new-HSK3"
确定,què dìng,確定,"v, vn",,to fix (on sth),"old-HSK5, new-HSK3"
确定,què dìng,確定,"v, vn",,to determine,"old-HSK5, new-HSK3"
确定,què dìng,確定,"v, vn",,to be sure,"old-HSK5, new-HSK3"
确定,què dìng,確定,"v, vn",,to ensure,"old-HSK5, new-HSK3"
确定,què dìng,確定,"v, vn",,to make certain,"old-HSK5, new-HSK3"
确定,què dìng,確定,"v, vn",,to ascertain,"old-HSK5, new-HSK3"
确定,què dìng,確定,"v, vn",,to clinch,"old-HSK5, new-HSK3"
确定,què dìng,確定,"v, vn",,to recognize,"old-HSK5, new-HSK3"
确定,què dìng,確定,"v, vn",,to confirm,"old-HSK5, new-HSK3"
确定,què dìng,確定,"v, vn",,OK (on computer dialog box),"old-HSK5, new-HSK3"
确实,què shí,確實,"ad, a, d",,indeed,new-HSK3
确实,què shí,確實,"ad, a, d",,really,new-HSK3
确实,què shí,確實,"ad, a, d",,reliable,new-HSK3
确实,què shí,確實,"ad, a, d",,real,new-HSK3
确实,què shí,確實,"ad, a, d",,true,new-HSK3
裙子,qún zi,裙子,n,条,skirt,new-HSK3
群,qún,羣,"q, g",,variant of 群,new-HSK3
群,qún,群,"q, g",,group,new-HSK3
群,qún,群,"q, g",,crowd,new-HSK3
群,qún,群,"q, g",,"flock, herd, pack etc",new-HSK3
热爱,rè ài,熱愛,"v, vn",,to love ardently,"old-HSK5, new-HSK3"
热爱,rè ài,熱愛,"v, vn",,to adore,"old-HSK5, new-HSK3"
热烈,rè liè,熱烈,"a, ad",,enthusiastic,"old-HSK5, new-HSK3"
热烈,rè liè,熱烈,"a, ad",,ardent,"old-HSK5, new-HSK3"
热烈,rè liè,熱烈,"a, ad",,warm,"old-HSK5, new-HSK3"
人才,rén cái,人才,n,,talent,"old-HSK5, new-HSK3"
人才,rén cái,人才,n,,talented person,"old-HSK5, new-HSK3"
人才,rén cái,人才,n,,looks,"old-HSK5, new-HSK3"
人才,rén cái,人才,n,,attractive looks,"old-HSK5, new-HSK3"
人工,rén gōng,人工,"b, d, n",,artificial,new-HSK3
人工,rén gōng,人工,"b, d, n",,manpower,new-HSK3
人工,rén gōng,人工,"b, d, n",,manual work,new-HSK3
人类,rén lèi,人類,n,,humanity,"old-HSK5, new-HSK3"
人类,rén lèi,人類,n,,human race,"old-HSK5, new-HSK3"
人类,rén lèi,人類,n,,mankind,"old-HSK5, new-HSK3"
人民,rén mín,人民,n,个,the people,new-HSK3
人民币,rén mín bì,人民幣,n,,Renminbi (RMB),new-HSK3
人民币,rén mín bì,人民幣,n,,Chinese Yuan (CNY),new-HSK3
人群,rén qún,人群,n,,crowd,new-HSK3
人生,rén shēng,人生,n,,life (one's time on earth),"old-HSK5, new-HSK3"
人员,rén yuán,人員,n,个,staff,"old-HSK5, new-HSK3"
人员,rén yuán,人員,n,个,crew,"old-HSK5, new-HSK3"
人员,rén yuán,人員,n,个,personnel,"old-HSK5, new-HSK3"
认出,rèn chū,認出,v,,recognition,new-HSK3
认出,rèn chū,認出,v,,to recognize,new-HSK3
认得,rèn de,認得,v,,to recognize,new-HSK3
认得,rèn de,認得,v,,to remember sth (or sb) on seeing it,new-HSK3
认得,rèn de,認得,v,,to know,new-HSK3
认可,rèn kě,認可,"v, vn",,to approve,new-HSK3
认可,rèn kě,認可,"v, vn",,approval,new-HSK3
认可,rèn kě,認可,"v, vn",,acknowledgment,new-HSK3
认可,rèn kě,認可,"v, vn",,OK,new-HSK3
任,Rén,任,"v, qv",,surname Ren,new-HSK3
任,Rén,任,"v, qv",,Ren County 任县 in Hebei,new-HSK3
任,rèn,任,"v, qv",,to assign,new-HSK3
任,rèn,任,"v, qv",,to appoint,new-HSK3
任,rèn,任,"v, qv",,to take up a post,new-HSK3
任,rèn,任,"v, qv",,office,new-HSK3
任,rèn,任,"v, qv",,responsibility,new-HSK3
任,rèn,任,"v, qv",,to let,new-HSK3
任,rèn,任,"v, qv",,to allow,new-HSK3
任,rèn,任,"v, qv",,to give free rein to,new-HSK3
任,rèn,任,"v, qv",,"no matter (how, what etc)",new-HSK3
任,rèn,任,"v, qv",,"classifier for terms served in office, or for spouses, girlfriends etc (as in 前任男友)",new-HSK3
任何,rèn hé,任何,r,,any,new-HSK3
任何,rèn hé,任何,r,,whatever,new-HSK3
任何,rèn hé,任何,r,,whichever,new-HSK3
任何,rèn hé,任何,r,,whatsoever,new-HSK3
任务,rèn wu,任務,n,"项, 个",mission; assignment; task; duty; role,new-HSK3
仍,réng,仍,d,,still; yet,new-HSK3
仍,réng,仍,d,,to remain,new-HSK3
仍,réng,仍,d,,(literary) frequently; often,new-HSK3
仍然,réng rán,仍然,d,,still; as before; yet,new-HSK3
日常,rì cháng,日常,b,,day-to-day; daily; everyday,"old-HSK5, new-HSK3"
容易,róng yì,容易,"a, ad",,easy; straightforward,new-HSK3
容易,róng yì,容易,"a, ad",,likely; liable to; apt to,new-HSK3
如何,rú hé,如何,r,,how,"old-HSK5, new-HSK3"
如何,rú hé,如何,r,,what way,"old-HSK5, new-HSK3"
如何,rú hé,如何,r,,what,"old-HSK5, new-HSK3"
散步,sàn bù,散步,"v, vn",,to take a walk; to go for a walk,new-HSK3
沙发,shā fā,沙發,n,"条, 张",sofa (loanword),new-HSK3
沙发,shā fā,沙發,n,"条, 张",(Internet slang) the first reply or replier to a forum post,new-HSK3
沙子,shā zi,沙子,n,"粒, 把",sand,new-HSK3
沙子,shā zi,沙子,n,"粒, 把",grit,new-HSK3
伤,shāng,傷,"v, n",,to injure,new-HSK3
伤,shāng,傷,"v, n",,injury,new-HSK3
伤,shāng,傷,"v, n",,wound,new-HSK3
伤心,shāng xīn,傷心,a,,to grieve,new-HSK3
伤心,shāng xīn,傷心,a,,to be broken-hearted,new-HSK3
伤心,shāng xīn,傷心,a,,to feel deeply hurt,new-HSK3
商品,shāng pǐn,商品,n,个,commodity,"old-HSK5, new-HSK3"
商品,shāng pǐn,商品,n,个,goods,"old-HSK5, new-HSK3"
商品,shāng pǐn,商品,n,个,merchandise,"old-HSK5, new-HSK3"
商业,shāng yè,商業,n,,business,"old-HSK5, new-HSK3"
商业,shāng yè,商業,n,,trade,"old-HSK5, new-HSK3"
商业,shāng yè,商業,n,,commerce,"old-HSK5, new-HSK3"
